fiscal_year,state_name,program_area,total_investment_dollars,number_investments,svi_investments
2013,Idaho,Business Programs,6691308,67,2407574
2013,Idaho,Community Facilities,6650885,17,636795
2013,Idaho,Multifamily Housing,12785012,162,5182781
2013,Idaho,Single Family Housing,264310603,1881,33416064
2013,Idaho,Water and Environmental,13993575,24,4317500
2013,Illinois,Business Programs,21994053,85,4502925
2013,Illinois,Community Facilities,62339900,29,12860779
2013,Illinois,Multifamily Housing,20767149,514,2089620
2013,Illinois,Single Family Housing,477276610,5325,27538321
2013,Illinois,Telecommunications Programs,1088778,2,0
2013,Illinois,Water and Environmental,33755568,43,0
2013,Indiana,Business Programs,10652023,108,223231
2013,Indiana,Community Facilities,704200,10,24900
2013,Indiana,Electric Programs,128105699,3,0
2013,Indiana,Multifamily Housing,17090364,368,2568344
2013,Indiana,Single Family Housing,614472413,5733,35766122
2013,Indiana,Water and Environmental,17175429,12,0
2013,Iowa,Business Programs,41195239,215,516640
2013,Iowa,Community Facilities,53912503,42,8833254
2013,Iowa,Electric Programs,51495000,6,0
2013,Iowa,Multifamily Housing,17944936,524,1450683
2013,Iowa,Single Family Housing,277375817,2815,13386811
2013,Iowa,Telecommunications Programs,5532414,1,0
2013,Iowa,Water and Environmental,21233904,27,0
2013,Kansas,Business Programs,16017155,91,2377357
2013,Kansas,Community Facilities,23794415,20,474000
2013,Kansas,Electric Programs,89095000,6,0
2013,Kansas,Multifamily Housing,9430416,243,1115868
2013,Kansas,Single Family Housing,224236803,2217,14597790
2013,Kansas,Water and Environmental,42706641,28,0
2013,Kentucky,Business Programs,25054958,94,8446309
2013,Kentucky,Community Facilities,50778840,34,4299778
2013,Kentucky,Electric Programs,81011000,4,0
2013,Kentucky,Multifamily Housing,18301235,290,7248997
2013,Kentucky,Single Family Housing,549716389,5164,50931864
2013,Kentucky,Telecommunications Programs,18867704,1,0
2013,Kentucky,Water and Environmental,56881741,55,8299000
2013,Louisiana,Business Programs,45405281,30,11566561
2013,Louisiana,Community Facilities,39499336,19,39283456
2013,Louisiana,Multifamily Housing,28885006,223,15513696
2013,Louisiana,Single Family Housing,827286786,5795,108047783
2013,Louisiana,Water and Environmental,22046531,15,13616244
2013,Maine,Business Programs,8613208,47,2375680
2013,Maine,Community Facilities,4671577,15,111600
2013,Maine,Electric Programs,6320154,2,0
2013,Maine,Multifamily Housing,23477914,231,2992786
2013,Maine,Single Family Housing,344405086,2536,10491507
2013,Maine,Water and Environmental,22025004,29,1323604
2013,Maryland,Business Programs,10157765,32,124000
2013,Maryland,Community Facilities,9666890,18,7808465
